make_year,mileage_kmpl,engine_cc,price_usd,brand_BMW,brand_Chevrolet,brand_Ford,brand_Honda,brand_Hyundai,brand_Kia,brand_Nissan,brand_Tesla,brand_Toyota,brand_Volkswagen,transmission_Automatic,transmission_Manual,fuel_type_Diesel,fuel_type_Electric,fuel_type_Petrol
2021,16.62,1800,5906.24,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2003,24.79,2500,7555.63,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2009,16.23,2000,5516.44,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
2009,12.28,1000,3659.65,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
2020,20.71,800,7180.43,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2004,24.73,1800,9413.59,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
2022,11.69,1800,9169.91,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
2007,27.86,2000,8307.23,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
2013,20.08,1200,5484.11,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
2001,23.17,800,3959.19,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
2011,25.34,1500,6548.13,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2014,22.86,1500,4960.39,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
2023,17.45,5000,13977.93,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
1998,24.09,1000,3115.8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
1999,19.27,3000,7518.48,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
2017,23.45,2000,7691.52,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
2001,24.0,1200,2957.44,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
2007,12.55,800,3914.74,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2009,21.97,1200,5076.83,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2005,17.09,3000,7137.36,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
2023,18.69,1500,12130.73,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
1998,18.64,1200,2879.82,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
2007,18.43,1500,5446.82,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
2001,25.62,1500,6699.4,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
2021,11.17,1000,5736.05,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
2013,9.39,1500,5659.79,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
2016,8.33,4000,6386.74,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
2022,23.35,1500,6864.9,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1996,14.13,800,2399.79,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
2004,18.66,800,2177.79,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
2007,17.43,800,4454.46,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
2019,13.57,1800,6796.85,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
2015,22.26,2000,9244.49,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
2000,17.36,2000,5874.48,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
2022,16.81,2000,6659.85,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
2022,19.16,4000,11086.06,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
2006,21.6,800,5172.28,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
2006,13.21,5000,8117.19,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2014,22.36,2000,8401.5,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
2005,25.25,3000,7333.1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
2020,10.87,3000,7986.23,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
2017,19.39,1200,5119.76,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
2022,16.48,1800,9315.03,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
2019,21.5,5000,13095.73,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
2001,11.92,1500,4500.31,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
1995,26.14,800,3403.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1995,9.96,4000,5470.93,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
2019,16.78,1800,7977.88,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2021,20.17,1000,10722.17,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
2019,14.57,1000,5035.78,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
2014,13.78,2500,6229.3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
2007,19.11,1500,4944.42,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
2003,18.39,800,5055.62,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
1997,18.03,1800,4177.78,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
2001,22.29,1000,3210.27,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
2000,16.03,2500,7159.23,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
2002,19.6,4000,9439.56,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
2021,15.47,800,6328.71,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
2003,13.75,1000,3144.73,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
1999,16.58,2000,3698.34,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
1995,15.51,3000,4076.74,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
2013,15.76,2500,8725.91,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
2004,23.83,4000,8816.8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
2006,16.73,1000,8395.17,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
2018,14.69,4000,11988.09,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2009,18.14,1500,6400.47,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
2021,18.52,1200,6669.8,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
2016,12.07,2500,9136.35,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
2018,16.51,1800,7232.83,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
2003,16.31,1800,4156.57,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
2014,17.14,1000,4747.56,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
2011,21.63,2000,7472.23,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
2011,18.68,2000,9225.02,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
2020,24.14,1500,9107.15,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
2014,17.94,1800,5543.51,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
2006,26.88,2500,8217.09,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
2001,15.7,3000,5452.33,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1996,14.15,2000,3395.55,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
1997,20.74,1800,5346.39,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2011,24.82,1200,9603.61,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1999,11.11,2500,4877.33,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
2011,17.02,3000,8247.67,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2018,14.95,1200,6501.41,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
2011,18.71,1800,7464.01,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
2021,18.05,1000,7100.61,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
2011,24.73,5000,9865.43,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
1996,17.46,5000,8441.87,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
1996,24.87,1500,4267.19,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2022,16.42,1500,6146.92,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
2016,22.63,3000,9338.81,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
2017,19.14,1200,7783.0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
1999,26.65,1800,6608.71,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
1995,10.61,1800,2124.15,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
1995,12.18,1000,1000.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
2013,27.16,4000,10826.27,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
1996,14.33,1500,8231.07,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2015,14.65,4000,10884.89,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2006,13.62,4000,8318.11,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
2020,23.74,1000,7481.52,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
2000,11.73,4000,4327.06,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2017,18.11,4000,10423.83,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
1998,16.67,1000,2578.19,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
2017,23.18,2000,8254.88,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
2005,15.18,4000,11043.7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2018,20.08,1500,5849.54,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2021,12.14,1000,5986.14,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
2011,29.37,2500,8463.91,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
2000,16.8,4000,9744.49,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
2018,18.04,2000,10013.68,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
1999,26.27,1500,6222.49,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2014,15.07,800,4827.66,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1996,26.34,1500,4666.49,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
2000,15.94,1200,6607.53,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
2016,21.36,2500,7839.37,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
2005,15.14,5000,9093.77,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2010,11.22,1800,5700.81,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
2010,20.07,1200,5390.65,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
1995,21.2,1000,1623.57,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2003,11.42,1000,7025.46,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
2022,16.46,1800,6679.71,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
2021,24.0,3000,11863.98,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
2000,21.0,3000,5620.37,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
2010,16.02,1800,5877.78,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
2023,15.01,1000,7106.65,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1997,27.74,1500,5376.83,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2014,10.77,2500,7225.04,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
2022,17.7,2000,8597.51,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
2021,10.68,5000,11773.67,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1998,24.57,2500,6813.8,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
